iter	Passed	Remaining
400	17497	26137
401	17542	26095
402	17586	26052
403	17629	26007
404	17676	25968
405	17721	25926
406	17759	25876
407	17807	25838
408	17852	25796
409	17890	25744
410	17926	25690
411	17971	25648
412	18012	25601
413	18052	25552
414	18093	25505
415	18136	25460
416	18178	25414
417	18224	25374
418	18264	25326
419	18306	25280
420	18351	25238
421	18396	25197
422	18438	25151
423	18477	25100
424	18525	25064
425	18564	25014
426	18604	24965
427	18647	24921
428	18690	24876
429	18729	24828
430	18771	24781
431	18811	24733
432	18851	24685
433	18888	24632
434	18931	24589
435	18973	24543
436	19014	24497
437	19056	24451
438	19100	24408
439	19139	24359
440	19178	24310
441	19218	24262
442	19262	24219
443	19303	24172
444	19344	24126
445	19387	24081
446	19424	24030
447	19469	23989
448	19509	23942
449	19552	23897
450	19594	23852
451	19636	23807
452	19682	23766
453	19724	23722
454	19769	23680
455	19808	23631
456	19850	23585
457	19893	23541
458	19939	23501
459	19983	23459
460	20027	23416
461	20071	23372
462	20111	23325
463	20154	23282
464	20196	23237
465	20239	23192
466	20280	23147
467	20322	23101
468	20361	23053
469	20404	23009
470	20444	22962
471	20485	22915
472	20532	22876
473	20576	22833
474	20626	22797
475	20671	22755
476	20717	22715
477	20756	22667
478	20794	22617
479	20837	22573
480	20880	22530
481	20923	22485
482	20961	22436
483	21006	22395
484	21053	22355
485	21098	22314
486	21151	22280
487	21204	22247
488	21248	22204
489	21293	22162
490	21340	22122
491	21386	22081
492	21435	22044
493	21479	22001
494	21520	21955
495	21565	21912
496	21610	21871
497	21658	21832
498	21704	21791
499	21750	21750
500	21795	21708
501	21844	21669
502	21886	21625
503	21927	21579
504	21975	21540
505	22015	21493
506	22066	21457
507	22117	21420
508	22163	21379
509	22211	21340
510	22255	21297
511	22292	21247
512	22343	21211
513	22388	21168
514	22438	21131
515	22488	21093
516	22533	21051
517	22579	21010
518	22618	20962
519	22664	20921
520	22710	20879
521	22756	20838
522	22805	20799
523	22845	20752
524	22887	20707
525	22934	20667
526	22981	20626
527	23019	20578
528	23059	20531
529	23103	20488
530	23149	20446
531	23198	20407
532	23242	20364
533	23284	20319
534	23331	20278
535	23367	20228
536	23417	20190
537	23462	20147
538	23503	20102
539	23551	20062
540	23593	20017
541	23634	19971
542	23675	19926
543	23718	19881
544	23761	19837
545	23803	19792
546	23841	19744
547	23881	19698
548	23923	19652
549	23969	19611
550	24010	19565
551	24056	19524
552	24101	19482
553	24146	19438
554	24189	19394
555	24234	19352
556	24272	19304
557	24320	19264
558	24363	19220
559	24401	19172
560	24446	19130
561	24493	19089
562	24538	19046
563	24585	19006
564	24633	18965
565	24680	18924
566	24725	18882
567	24770	18839
568	24815	18796
569	24855	18750
570	24898	18706
571	24939	18660
572	24985	18619
573	25035	18580
574	25082	18538
