iter	RMSE
227	145.5435855
228	145.542284
229	145.5410665
230	145.524277
231	145.5217721
232	145.508961
233	145.5067423
234	145.5042964
235	145.4949973
236	145.4823555
237	145.4704424
238	145.4510181
239	145.4490899
240	145.4354916
241	145.4210016
242	145.4089876
243	145.3900085
244	145.3389276
245	145.3211783
246	145.3047779
247	145.290771
248	145.2766789
249	145.274733
250	145.2731408
251	145.2712178
252	145.2492607
253	145.2403983
254	145.2389843
255	145.2221437
256	145.2145856
257	145.1795655
258	145.158334
259	145.1466695
260	145.1290371
261	145.1130103
262	145.0951952
263	145.0752613
264	145.0514982
265	145.0330732
266	145.0168674
267	145.0022524
268	144.9770181
269	144.9693768
270	144.9283997
271	144.9037094
272	144.8858901
273	144.8738862
274	144.8592618
275	144.8476759
276	144.8331009
277	144.8164159
278	144.79217
279	144.7740963
280	144.7511232
281	144.7424297
282	144.7282825
283	144.7115178
284	144.7059091
285	144.6987036
286	144.6841049
287	144.6727323
288	144.671419
289	144.6546723
290	144.6390092
291	144.6239083
292	144.6223633
293	144.6069839
294	144.5907689
295	144.5724417
296	144.5469506
297	144.5336921
298	144.5322913
299	144.5166271
300	144.5030265
301	144.4848955
302	144.4701027
303	144.4666806
304	144.4501806
305	144.4397398
306	144.4290629
307	144.4193054
308	144.4100043
309	144.4012348
310	144.3907376
311	144.3867446
312	144.3746003
313	144.348756
314	144.322664
315	144.3183793
316	144.3043919
317	144.3004665
318	144.2866902
319	144.252263
320	144.2369586
321	144.2112903
322	144.1867924
323	144.1778642
324	144.1486254
325	144.1002309
326	144.0829312
327	144.0633218
328	144.0537528
329	144.0433783
330	144.0352672
331	144.0218808
332	144.0058997
333	143.998137
334	143.9944953
335	143.9662986
336	143.9414052
337	143.910121
338	143.9015718
339	143.8763463
340	143.8664917
341	143.8549439
342	143.8392266
343	143.8362503
344	143.8229638
345	143.8096857
346	143.8018909
347	143.7896208
348	143.7734147
349	143.7633945
350	143.7464834
351	143.7318099
352	143.7200022
353	143.6862291
354	143.6656011
355	143.6526942
356	143.6426493
357	143.6219271
358	143.6075875
359	143.5880288
360	143.5771126
361	143.5559529
362	143.5485452
363	143.5336215
364	143.5203961
365	143.5064041
366	143.4917877
367	143.4762572
368	143.436215
369	143.4142255
370	143.4010407
371	143.393092
372	143.3748292
373	143.3586333
374	143.352518
375	143.3397212
376	143.3302203
377	143.2914218
378	143.268305
379	143.2514801
380	143.2398073
381	143.2307964
382	143.2223475
383	143.2135024
384	143.2010497
385	143.1855263
386	143.176586
387	143.168773
388	143.145029
389	143.1292173
390	143.1202584
391	143.1049205
392	143.0959928
393	143.0867475
394	143.0426712
395	143.0182578
396	143.0050345
397	142.993214
398	142.9748983
399	142.9696763
400	142.957008
401	142.9423928
402	142.9291596
403	142.9115786
404	142.8937184
405	142.8790981
406	142.8734385
407	142.8575702
408	142.8361404
409	142.8238138
410	142.8147633
411	142.8063216
412	142.777592
413	142.7647357
414	142.7442969
415	142.7183814
416	142.6693147
417	142.6508995
418	142.6353948
419	142.6285899
420	142.6158844
421	142.6079583
422	142.6007267
423	142.5830388
424	142.5697015
425	142.5604501
426	142.5294271
427	142.510295
428	142.497573
429	142.4838227
430	142.4719537
431	142.458301
432	142.449682
433	142.429914
434	142.4239848
435	142.4157331
436	142.4081185
437	142.3936343
438	142.3824944
439	142.3736171
440	142.3620111
441	142.3545996
442	142.3461685
443	142.3412413
444	142.339513
445	142.3303956
446	142.3143575
447	142.2776367
448	142.26887
449	142.2480955
450	142.2304211
451	142.208221
452	142.1999056
453	142.1817257
454	142.1644473
455	142.1536302
456	142.1393625
457	142.1243708
458	142.1077696
459	142.0954262
460	142.0660919
461	142.0564259
462	142.0500404
463	142.0396623
464	142.0380336
465	142.0167097
466	142.0099128
467	142.0022392
468	141.9970116
469	141.9893743
470	141.9799856
471	141.959546
472	141.9296027
473	141.9109545
474	141.8777183
475	141.8697183
476	141.8575877
477	141.8434178
478	141.8328428
479	141.8201483
480	141.8084774
481	141.8022393
482	141.7954623
483	141.7731033
484	141.7615646
485	141.7461364
486	141.7353205
487	141.719931
488	141.7095206
489	141.7001598
490	141.6874265
491	141.6771042
492	141.6655794
493	141.6567303
494	141.6498713
495	141.6310219
496	141.6159179
497	141.5949751
498	141.5852262
499	141.5752941
500	141.5588705
501	141.5407091
502	141.5346846
503	141.5221756
504	141.5081153
505	141.4950839
506	141.4769403
507	141.4660379
508	141.4632815
509	141.445425
510	141.4387136
511	141.4347612
512	141.4166542
513	141.4053028
514	141.3983421
515	141.3582167
516	141.3562561
517	141.351202
518	141.3312224
519	141.3219782
520	141.3157277
521	141.3088111
522	141.2936292
523	141.2873486
524	141.278329
525	141.2668547
526	141.2419495
527	141.2356114
528	141.2303349
529	141.2177302
530	141.2042573
531	141.1931634
532	141.1775198
533	141.1682264
534	141.1561039
535	141.1540725
536	141.1402219
537	141.1246814
538	141.1139232
539	141.1046385
540	141.096746
541	141.0901827
542	141.0801741
543	141.0724193
544	141.0686614
545	141.0555859
546	141.042131
547	141.0365398
548	141.0212611
549	140.9970581
550	140.9812507
551	140.9653601
552	140.9606626
553	140.9496886
554	140.9404483
555	140.9347475
556	140.9255375
557	140.9188191
558	140.8998056
559	140.8963376
560	140.879594
561	140.8714787
562	140.8572252
563	140.8475585
564	140.8292279
565	140.8210643
566	140.8103955
567	140.7971231
568	140.7790156
569	140.7749514
570	140.7668538
571	140.7570665
572	140.7498509
573	140.7367633
574	140.72637
575	140.7174935
576	140.6937301
577	140.6766393
578	140.6651826
579	140.6571083
580	140.6528957
581	140.6317421
582	140.6154842
583	140.6042747
584	140.6011523
585	140.5869576
586	140.5796022
587	140.5739186
588	140.5664324
589	140.5539559
590	140.5409003
591	140.5208688
592	140.5079186
593	140.4935571
594	140.4865773
595	140.4754564
596	140.464754
597	140.4470893
598	140.4354927
599	140.4192674
600	140.4101731
601	140.3992865
602	140.3838721
603	140.3784192
604	140.367902
605	140.3579487
606	140.3487516
607	140.3407129
608	140.3322567
609	140.3226289
610	140.3103632
611	140.2863162
612	140.2739645
613	140.2674856
614	140.2483009
615	140.2336641
616	140.2184916
617	140.2049002
618	140.1905177
619	140.1829671
620	140.1770365
621	140.1633689
622	140.1532891
623	140.1426648
624	140.1342729
625	140.1161591
626	140.0970465
627	140.0858936
628	140.0795735
629	140.0727308
630	140.06871
631	140.060717
632	140.0431244
633	140.032234
634	140.0244118
635	140.0163143
636	140.0057943
637	139.9990767
638	139.9845456
639	139.9718838
640	139.9643265
641	139.955029
642	139.9489739
643	139.9287039
644	139.9232136
645	139.9179044
646	139.9089003
647	139.8992151
648	139.8876875
649	139.8790978
650	139.8650084
651	139.8505846
652	139.8416258
653	139.8286144
654	139.8174707
655	139.8106589
656	139.7997961
657	139.7842113
658	139.7754977
659	139.7659212
660	139.757726
661	139.7472023
662	139.7420824
663	139.7258504
664	139.7192532
665	139.713143
666	139.7023319
667	139.6918524
668	139.6843816
669	139.6732449
670	139.6680124
671	139.6631049
672	139.6480706
673	139.6444876
674	139.6325253
675	139.6251063
676	139.6211734
677	139.60608
678	139.5946316
679	139.5833357
680	139.5692551
681	139.5634785
682	139.5595988
683	139.5480504
684	139.534158
685	139.5212014
686	139.5145103
687	139.511498
688	139.5013502
689	139.4846854
690	139.4628465
691	139.4518214
692	139.4366011
693	139.4247448
694	139.4079855
695	139.3997683
696	139.3919079
697	139.3799909
698	139.3736965
699	139.359966
700	139.3497812
701	139.3385099
702	139.3127497
703	139.3038379
704	139.2956358
705	139.2831618
706	139.277041
707	139.2703683
708	139.2559554
709	139.2518931
710	139.23952
711	139.2302743
712	139.2179266
713	139.210836
714	139.1997381
715	139.1903238
716	139.1794094
717	139.1680566
718	139.1613058
719	139.1594986
720	139.1421104
721	139.1212117
722	139.1106756
723	139.0957506
724	139.0848853
725	139.0740536
726	139.0569492
727	139.0265281
728	139.0196047
729	139.0052611
730	138.9973122
731	138.9961279
732	138.9772807
733	138.9707975
734	138.9625291
735	138.9544519
736	138.9434038
737	138.9279796
738	138.921953
739	138.9171116
740	138.9114062
741	138.9003456
742	138.8925435
743	138.8734437
744	138.868476
745	138.8589201
746	138.8487485
747	138.841846
748	138.8358273
749	138.8264647
750	138.817787
751	138.8105597
752	138.7895895
753	138.7827498
754	138.773834
755	138.742703
756	138.7192245
757	138.7093117
758	138.7016741
759	138.6908564
760	138.6807509
761	138.6752684
762	138.6609806
763	138.6569331
764	138.6506436
765	138.6370433
766	138.6239948
767	138.6141833
768	138.6016381
769	138.5922505
770	138.5862273
771	138.571624
772	138.5609683
773	138.5479337
774	138.5418808
775	138.540975
776	138.5277631
777	138.5047005
778	138.497485
779	138.4859696
780	138.4655854
781	138.4595193
782	138.454297
783	138.4410779
784	138.4288641
785	138.4220242
786	138.4136442
787	138.4039459
788	138.3984533
789	138.390487
790	138.3818361
791	138.347656
792	138.3357307
793	138.3255825
794	138.3199384
795	138.3099319
796	138.3049481
797	138.3033609
798	138.2975994
799	138.2871205
800	138.2761612
801	138.2698683
802	138.2632932
803	138.2533961
804	138.2519097
805	138.2398804
806	138.2351238
807	138.2197341
808	138.2019347
809	138.1912762
810	138.186727
811	138.1707911
812	138.1618947
813	138.1554935
814	138.146498
815	138.1416235
816	138.137087
817	138.1261062
818	138.1166752
819	138.110627
820	138.1062069
821	138.0894018
822	138.0784437
823	138.0730854
824	138.0659176
825	138.0593187
826	138.0474504
827	138.0423684
828	138.0353087
829	138.026705
830	138.0173666
831	138.0129784
832	138.0005234
833	137.985001
834	137.9784329
835	137.9593796
836	137.9445905
837	137.938022
838	137.9303586
839	137.9223617
840	137.9086545
841	137.8988083
842	137.8900132
843	137.8812774
844	137.8695093
845	137.862386
846	137.8574048
847	137.8533393
848	137.8455583
849	137.8398348
850	137.838446
851	137.8218042
852	137.8122796
853	137.8038268
854	137.7966059
855	137.7934559
856	137.7788245
857	137.7621007
858	137.7426211
859	137.727665
860	137.7192257
861	137.7083637
862	137.6959755
863	137.6856229
864	137.6780265
865	137.6689194
866	137.6643965
867	137.6504543
868	137.6423996
869	137.6381659
870	137.622793
871	137.6100896
872	137.5992142
873	137.597906
874	137.5901768
875	137.5782034
876	137.5704784
877	137.5600064
878	137.5476568
879	137.5322376
880	137.5218956
881	137.5108056
882	137.505556
883	137.4979415
884	137.4914311
885	137.4873187
886	137.4808708
887	137.4749932
888	137.4678405
889	137.4589664
890	137.4458567
891	137.4400029
892	137.3942165
893	137.3887237
894	137.3770357
895	137.3693317
896	137.3546953
897	137.339567
898	137.3337165
899	137.3271772
900	137.3148932
901	137.301672
902	137.298007
903	137.2921399
904	137.2858838
905	137.2811078
906	137.2713479
907	137.2636714
908	137.2574594
909	137.2454273
910	137.2381516
911	137.2232816
912	137.2155584
913	137.2024279
914	137.1899584
915	137.1797847
916	137.1646453
917	137.1615204
918	137.158123
919	137.1488565
920	137.1389556
921	137.1288971
922	137.1166774
923	137.0999276
924	137.0926451
925	137.0808859
926	137.0731816
927	137.0668925
928	137.0521658
929	137.0413259
930	137.0224035
931	137.0140124
932	136.9991824
933	136.992778
934	136.9825599
935	136.9703788
936	136.960649
937	136.9553379
938	136.9493804
939	136.9397305
940	136.9319281
941	136.9230386
942	136.9193925
943	136.9120961
944	136.900443
945	136.8931202
946	136.8899782
947	136.8667215
948	136.8514437
949	136.8411574
950	136.829586
951	136.8229031
952	136.8143245
953	136.8018414
954	136.7918007
955	136.7871692
956	136.7728685
957	136.7651785
958	136.7602423
959	136.7503173
960	136.7441633
961	136.735571
962	136.7061195
963	136.6987584
964	136.6930676
965	136.6778175
966	136.6511748
967	136.6340647
968	136.6267811
969	136.6224928
970	136.6150622
971	136.6067754
972	136.603641
973	136.5989204
974	136.5955496
975	136.5874684
976	136.5741752
977	136.5670169
978	136.5582464
979	136.5539417
980	136.5387605
981	136.5282254
982	136.5215073
983	136.5012766
984	136.4923352
985	136.4865369
986	136.4800567
987	136.4608174
988	136.4547891
989	136.4417606
990	136.4332409
991	136.4261637
992	136.4193935
993	136.4129328
994	136.4067908
995	136.3914761
996	136.3889332
997	136.3817634
998	136.374032
999	136.3696398
1294
999	134.7785143
8
