name,model_type,metric_type,metric_value,train_time
71_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,51.01896547383234,1894.38
41_CatBoost_GoldenFeatures_SelectedFeatures_Stacked,CatBoost,mae,45.49992518021349,143.47
45_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.84262078323813,64.02
7_Xgboost_Stacked,Xgboost,mae,50.603565175966146,140.21
73_RandomForest_Stacked,Random Forest,mae,51.0283111252534,1997.41
29_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.493938903101096,182.18
63_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.66504311854627,79.48
65_Xgboost_SelectedFeatures_Stacked,Xgboost,mae,50.55448384564559,131.44
55_RandomForest_Stacked,Random Forest,mae,51.09833671251728,1470.5
42_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.64151295884447,143.5
21_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.75434534736235,54.42
50_Xgboost_Stacked,Xgboost,mae,50.69268349213624,98.68
38_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,51.12418056781971,1608.25
29_CatBoost_Stacked,CatBoost,mae,45.593206950033725,99.56
44_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.79243246566825,47.8
67_Xgboost_Stacked,Xgboost,mae,50.56026192181138,128.07
38_RandomForest_Stacked,Random Forest,mae,51.114855518999256,1347.44
43_CatBoost_Stacked,CatBoost,mae,45.618836715838675,117.72
47_LightGBM_Stacked,LightGBM,mae,50.785932334938444,61.08
66_Xgboost_SelectedFeatures_Stacked,Xgboost,mae,50.71452201450385,81.84
53_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,51.1160400888898,1069.08
31_CatBoost_Stacked,CatBoost,mae,45.64872066126697,277.27
60_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.97468771883097,44.65
51_Xgboost_Stacked,Xgboost,mae,50.61195843475378,106.55
56_RandomForest_Stacked,Random Forest,mae,51.11540601082865,1320.5
31_CatBoost_GoldenFeatures_Stacked,CatBoost,mae,45.71304135462575,285.28
62_LightGBM_SelectedFeatures_Stacked,LightGBM,mae,50.953314081447324,42.25
2_Default_Xgboost_Stacked,Xgboost,mae,50.620128437641426,83.1
54_RandomForest_SelectedFeatures_Stacked,Random Forest,mae,51.118921855218225,1461.03
21_LightGBM_Stacked,LightGBM,mae,50.810938736389865,56.35
11_Xgboost_Stacked,Xgboost,mae,50.74909997588809,65.66
57_RandomForest_Stacked,Random Forest,mae,51.09494055694809,1060.5
Ensemble_Stacked,Ensemble,mae,44.79123079280456,118.46
