feature,mean_importance
DIST_diff_PORT_SIZE,-0.00402850577344036
DIST_ratio_hour,-0.0030201441630289816
DEPTH,-0.0009991864516344373
hour,-0.00054400104128689
DIST_ratio_DEPTH,-0.00018313078147451644
V_WIND,-0.00015473216194890061
minute,0.00022128456873977688
ATA_LT,0.00027407489602986334
BREADTH_sum_DIST,0.00033684955797477214
PORT_SIZE,0.00033757944692680564
random_feature,0.00037582139516372236
BREADTH,0.0004298452615089099
BN,0.00044501307456765724
U_WIND,0.00046165900949621805
day,0.0006516888134498356
DIST_ratio_minute,0.0015945223196928815
DIST_diff_ARI_PO,0.0016873914941375467
DEADWEIGHT,0.0017546135284109976
month,0.002068823234132533
DRAUGHT,0.0021895592524129757
PORT_SIZE_ratio_DIST,0.004213686681052686
BUILT,0.004255134830711183
VOLUME,0.004640727710992154
AIR_TEMPERATURE,0.005090744746634401
DIST_diff_DRAUGHT,0.005300253435104274
LENGTH,0.006155881555606202
DIST_ratio_ARI_CO,0.006226641896977858
DIST_ratio_PORT_SIZE,0.006451577542886744
year,0.007725092463254102
ARI_PO,0.008666381901403541
ARI_CO,0.017727028078544604
SHIP_TYPE_CATEGORY,0.025566314248665935
GT,0.027252011576818357
weekday,0.03119514182604157
WEEKEND,0.03333735733754377
DIST,0.09653048914513138
