feature,mean_importance
VOLUME,-0.0037384015475119938
DIST_ratio_DEPTH,-0.0027353907761215267
LENGTH,-0.0009397837974324252
BN,-0.0005965233225900147
DIST_ratio_minute,-0.000584773560853824
hour,-0.0005821740186382929
ATA_LT,-0.0003100967865989457
day,-6.468685820981701e-05
BUILT,-3.619876172644698e-05
U_WIND,0.00012393725766322028
V_WIND,0.00013012602000705975
DEPTH,0.00032832048590272225
DIST_ratio_ARI_CO,0.0004450004488674608
minute,0.0004637654406762781
PORT_SIZE_ratio_DIST,0.0005574673011610632
BREADTH_sum_DIST,0.0009706436910095206
PORT_SIZE,0.0010327809985785307
random_feature,0.0010333311612804818
ARI_PO,0.0012185171165660647
DIST_ratio_hour,0.0013971672636462263
DEADWEIGHT,0.0016159850485425898
AIR_TEMPERATURE,0.0018321897318559267
month,0.0019862372266672202
DRAUGHT,0.00250178220138757
DIST_diff_ARI_PO,0.0027073202913010298
BREADTH,0.0030543683243881015
year,0.008698750615479733
DIST_diff_DRAUGHT,0.011087789673759053
DIST_ratio_PORT_SIZE,0.013246622770190574
ARI_CO,0.015655945534754002
GT,0.01707836978590267
DIST_diff_PORT_SIZE,0.02361872264349276
WEEKEND,0.02518922173472902
weekday,0.02829896590315175
SHIP_TYPE_CATEGORY,0.028736788702432813
DIST,0.10164550395976582
