feature,mean_importance
DIST_ratio_minute,-0.0041588688207114585
DIST_ratio_hour,-0.0007087452044300501
hour,-0.00037931157820381145
minute,-0.00016462999910382692
day,-3.4398825150439016e-05
BN,-3.892195174226565e-06
random_feature,3.887097103438819e-06
ATA_LT,8.956251629239631e-05
DIST_ratio_DEPTH,0.0004341828765148881
U_WIND,0.0006239834544446765
BUILT,0.0006598362358134491
V_WIND,0.0007735079156377944
DIST_diff_DRAUGHT,0.0008800991246426193
LENGTH,0.0010658234561587766
month,0.0014310669845631451
VOLUME,0.0015081009890232978
DRAUGHT,0.0021397618927789575
BREADTH,0.0024840387268587395
AIR_TEMPERATURE,0.003011830712577801
DIST_ratio_ARI_CO,0.00417056672057059
ARI_PO,0.00580963433822006
DEPTH,0.006563439417836614
year,0.007226355356743763
PORT_SIZE_ratio_DIST,0.011539084889972883
DIST_diff_ARI_PO,0.011673411794308097
DIST_diff_PORT_SIZE,0.012790679034795338
PORT_SIZE,0.014826287212744371
ARI_CO,0.016736841215900557
DEADWEIGHT,0.017510990808407612
GT,0.02176289948444332
WEEKEND,0.02990725312339777
SHIP_TYPE_CATEGORY,0.03131232364942933
DIST_ratio_PORT_SIZE,0.03796923588711185
weekday,0.04536629215113748
BREADTH_sum_DIST,0.05028581884503687
DIST,0.0967154114847083
