feature,mean_importance
VOLUME,-0.004947042838456572
DEPTH,-0.0011348556130701625
V_WIND,-0.00037820254368390314
BN,-0.0003612636257374291
DIST_diff_DRAUGHT,-9.869142563661004e-05
minute,-8.549049856727553e-05
day,-5.160667158450316e-05
random_feature,-2.8149363754170764e-05
U_WIND,3.926928785848993e-05
ATA_LT,4.617728144471478e-05
DIST_ratio_minute,0.00020580409321175886
hour,0.0007897226128681823
BUILT,0.0010258409866745755
BREADTH,0.0011202110007099586
month,0.0012453892266665934
DRAUGHT,0.0013633472195904383
AIR_TEMPERATURE,0.0015596717310425224
PORT_SIZE_ratio_DIST,0.0020721939776748854
ARI_PO,0.002414241025618047
DIST_ratio_DEPTH,0.0025284021699082393
DIST_ratio_hour,0.003746677959620137
year,0.005250666597120835
PORT_SIZE,0.00925510344056395
BREADTH_sum_DIST,0.009362450804047384
DIST_ratio_PORT_SIZE,0.00980612647476653
DIST_diff_PORT_SIZE,0.01240594860546873
DIST_ratio_ARI_CO,0.013259401511159364
LENGTH,0.013473556372917205
DEADWEIGHT,0.01402497803111411
ARI_CO,0.016930006901213247
WEEKEND,0.0246029248148677
SHIP_TYPE_CATEGORY,0.02556186868303827
DIST_diff_ARI_PO,0.02577845107487895
weekday,0.035367445433693634
GT,0.06479143078555132
DIST,0.07028433493378032
