feature,mean_importance
DIST_ratio_hour,-0.000757811296058053
V_WIND,-0.00047978688432293026
BN,-0.0003378009094260337
DIST_ratio_minute,-0.0002581105804964068
ATA_LT,-0.00014195435809536417
random_feature,-5.8181225597420116e-05
minute,-1.1236740548570268e-05
U_WIND,1.4440458049880256e-05
DEPTH,0.00021149212761992776
day,0.0002281307164525348
hour,0.00030005441139859814
DRAUGHT,0.0008511767020544126
DIST_diff_DRAUGHT,0.001038560651834608
PORT_SIZE_ratio_DIST,0.0010873216174791755
month,0.0012177255944750387
BUILT,0.0016570723846696556
AIR_TEMPERATURE,0.0019455458260027258
BREADTH_sum_DIST,0.002183763111159265
VOLUME,0.0023415909370711587
BREADTH,0.00293601074983878
year,0.004769939848461346
GT,0.004791962804241168
ARI_PO,0.005143767432251534
DEADWEIGHT,0.005373053087835466
DIST_diff_ARI_PO,0.006471775751858621
DIST_ratio_ARI_CO,0.007444614671958383
PORT_SIZE,0.010256095612935435
DIST_diff_PORT_SIZE,0.010307841073192003
LENGTH,0.012028665937561644
ARI_CO,0.020276621222212632
DIST_ratio_PORT_SIZE,0.02063930347747287
WEEKEND,0.02096042787271568
SHIP_TYPE_CATEGORY,0.023664603574762057
weekday,0.026253301087047997
DIST_ratio_DEPTH,0.028344395971764035
DIST,0.08179252973394846
