feature,mean_importance
DIST_ratio_minute,-0.003460868801833117
DIST_diff_ARI_PO,-0.003379443981706265
ATA_LT,-0.0006388450967557801
DIST_ratio_DEPTH,-0.0005436489214837969
U_WIND,-0.00035651844749529094
DEPTH,-0.00012257002114026693
random_feature,-4.516221462547154e-05
DIST_diff_DRAUGHT,2.664457210110882e-06
V_WIND,2.75812350448712e-05
DEADWEIGHT,3.198074859007693e-05
LENGTH,3.535621852346349e-05
minute,3.595260114142018e-05
BN,0.0001303342154798104
day,0.00029285858407801513
hour,0.0003583242233819339
DIST_ratio_hour,0.0005428097543114907
BREADTH,0.0008610295924272205
BUILT,0.0008772648707590314
DRAUGHT,0.0014586770323249177
month,0.0021528203718196746
AIR_TEMPERATURE,0.0025212540952006756
DIST_ratio_ARI_CO,0.0026317597898783294
WEEKEND,0.0033880212032308733
ARI_PO,0.00483301916190515
PORT_SIZE_ratio_DIST,0.004854164186605225
BREADTH_sum_DIST,0.006165084330827386
PORT_SIZE,0.006170814755385589
year,0.00853362044335435
ARI_CO,0.01278588944785366
VOLUME,0.01783016780290254
DIST_ratio_PORT_SIZE,0.019357810678820052
GT,0.020571155922336513
DIST_diff_PORT_SIZE,0.020774911630970828
SHIP_TYPE_CATEGORY,0.022557767548550035
weekday,0.04226538757769398
DIST,0.09081128074810603
