feature,mean_importance
VOLUME,-0.009421908364742904
DIST_ratio_DEPTH,-0.00501236550413362
DIST_diff_ARI_PO,-0.002949825490061575
DRAUGHT,-0.0017909942057268591
DIST_ratio_hour,-0.0015351821272811873
ATA_LT,-0.0007582385616184073
DIST_ratio_minute,-0.00019347185914178055
U_WIND,-0.00015618384873468117
hour,-0.00015294004351207313
BN,-0.0001528370264439305
random_feature,-1.7312868400654045e-05
DEPTH,1.4627247414233934e-05
BUILT,5.8167957151833426e-05
AIR_TEMPERATURE,0.00014847995661992908
day,0.0001503578860654775
minute,0.0002397678533768932
V_WIND,0.0003901580249185965
DIST_diff_PORT_SIZE,0.0005110489485192105
GT,0.0006326986352455322
LENGTH,0.0011847573719607097
month,0.0013452456570292926
PORT_SIZE_ratio_DIST,0.002682302955355831
ARI_PO,0.0029242106577114903
BREADTH,0.0030693863618775465
DEADWEIGHT,0.0034316899291962468
year,0.003645916776181135
DIST_ratio_ARI_CO,0.004729467891259898
DIST_diff_DRAUGHT,0.0055306230153246315
PORT_SIZE,0.006256240196918705
BREADTH_sum_DIST,0.01580253756198957
ARI_CO,0.016921831438597247
WEEKEND,0.020446132982370614
SHIP_TYPE_CATEGORY,0.02591454931245729
DIST_ratio_PORT_SIZE,0.028870133020993484
weekday,0.03845460002165087
DIST,0.06912534929531496
