feature,mean_importance
DIST_ratio_minute,-0.0031684320911873343
DIST_diff_DRAUGHT,-0.0022938413595955166
DIST_ratio_hour,-0.0006952240462709148
V_WIND,-0.00025653695980418776
random_feature,-0.00022500046645563821
U_WIND,-8.724793258549913e-05
day,0.00015173124615517342
BREADTH,0.000231208459320853
BN,0.00028143947356136235
DEPTH,0.00029102221830121786
ATA_LT,0.0005643236222911963
minute,0.000572960975855108
AIR_TEMPERATURE,0.0008832843329084295
hour,0.0009052788365955689
VOLUME,0.0013715063524536886
month,0.0014064394135087754
BUILT,0.0015926670006664923
year,0.0018102055279941576
DRAUGHT,0.0023263548348245954
DIST_diff_ARI_PO,0.0025322250970959415
GT,0.002617815802626877
PORT_SIZE_ratio_DIST,0.0027336713779439136
LENGTH,0.0028350574486210923
DIST_ratio_DEPTH,0.005607809717180623
DIST_ratio_ARI_CO,0.006169351778170062
ARI_PO,0.006427424669837811
PORT_SIZE,0.008145966547254769
weekday,0.009027852062051677
DEADWEIGHT,0.009970382893871577
DIST_ratio_PORT_SIZE,0.012193317590157692
ARI_CO,0.014026831480561363
BREADTH_sum_DIST,0.017290206901984927
WEEKEND,0.019080460698858825
SHIP_TYPE_CATEGORY,0.02301709592403529
DIST,0.08582182677647361
DIST_diff_PORT_SIZE,0.14706869040659085
