feature,mean_importance
DIST_diff_DRAUGHT,-0.005323975083681698
ATA_LT,-0.0003885891232025207
BN,-0.00025145810835596193
day,-8.876426620247901e-05
U_WIND,-8.315459084695664e-05
V_WIND,0.00010369688491809192
minute,0.00014766401821435514
random_feature,0.00015056584410924056
DEPTH,0.00029826525391380977
LENGTH,0.00030052392768531444
DIST_ratio_minute,0.0008816052559232901
DIST_ratio_hour,0.0011714525047549218
hour,0.001262297340057761
month,0.0013005088872666715
BREADTH,0.0013511134886926568
DRAUGHT,0.002061887935836992
AIR_TEMPERATURE,0.002091896075394217
DIST_ratio_DEPTH,0.0021799285987970096
BUILT,0.0024839228333869423
DIST_diff_ARI_PO,0.003616591989283635
ARI_PO,0.004511405936910418
year,0.004854242991826086
VOLUME,0.005320789640373302
PORT_SIZE_ratio_DIST,0.005767497732673954
PORT_SIZE,0.007824172318752898
DIST_diff_PORT_SIZE,0.008798175206920856
DIST_ratio_ARI_CO,0.010337713885840238
DIST_ratio_PORT_SIZE,0.011086100682948463
DEADWEIGHT,0.014972274674607756
BREADTH_sum_DIST,0.015373418112365278
ARI_CO,0.016329820783972715
WEEKEND,0.020890400347405434
SHIP_TYPE_CATEGORY,0.023264649051761732
weekday,0.029850290221739906
GT,0.055423561797039625
DIST,0.09171953477406199
